Date,Close/Last,Volume,Open,High,Low
2024-02-26,$181.16,40867420,$182.24,$182.76,$180.65
2024-02-23,$182.52,45119680,$185.01,$185.04,$182.23
2024-02-22,$184.37,52292210,$183.48,$184.955,$182.46
2024-02-21,$182.32,41529670,$181.94,$182.8888,$180.66
2024-02-20,$181.56,53665550,$181.79,$182.43,$180.00
2024-02-16,$182.31,49752470,$183.42,$184.85,$181.665
2024-02-15,$183.86,65434500,$183.55,$184.49,$181.35
2024-02-14,$184.15,54630520,$185.32,$185.53,$182.44
2024-02-13,$185.04,56529530,$185.77,$186.21,$183.5128
2024-02-12,$187.15,41781930,$188.415,$188.67,$186.79
2024-02-09,$188.85,45155220,$188.65,$189.99,$188.00
2024-02-08,$188.32,40962050,$189.385,$189.535,$187.35
2024-02-07,$189.41,53438960,$190.64,$191.05,$188.61
2024-02-06,$189.30,43490760,$186.86,$189.31,$186.7695
2024-02-05,$187.68,69668820,$188.15,$189.25,$185.84
2024-02-02,$185.85,102551700,$179.86,$187.33,$179.25
2024-02-01,$186.86,64885410,$183.985,$186.95,$183.82
2024-01-31,$184.40,55467800,$187.04,$187.095,$184.35
2024-01-30,$188.04,55859370,$190.94,$191.80,$187.47
2024-01-29,$191.73,47145620,$192.01,$192.20,$189.58
2024-01-26,$192.42,44594010,$194.27,$194.76,$191.94
2024-01-25,$194.17,54822130,$195.22,$196.2675,$193.1125
2024-01-24,$194.50,53631320,$195.42,$196.38,$194.34
2024-01-23,$195.18,42355590,$195.02,$195.75,$193.8299
2024-01-22,$193.89,60133850,$192.30,$195.33,$192.26
2024-01-19,$191.56,68902990,$189.33,$191.95,$188.82
2024-01-18,$188.63,78005750,$186.09,$189.14,$185.83
2024-01-17,$182.68,47317430,$181.27,$182.93,$180.30
2024-01-16,$183.63,65603040,$182.16,$184.26,$180.934
2024-01-12,$185.92,40477780,$186.06,$186.74,$185.19
2024-01-11,$185.59,49128410,$186.54,$187.05,$183.62
2024-01-10,$186.19,46792910,$184.35,$186.40,$183.92
2024-01-09,$185.14,42841810,$183.92,$185.15,$182.73
2024-01-08,$185.56,59144470,$182.085,$185.60,$181.50
2024-01-05,$181.18,62379660,$181.99,$182.76,$180.17
2024-01-04,$181.91,71983570,$182.15,$183.0872,$180.88
2024-01-03,$184.25,58414460,$184.22,$185.88,$183.43
2024-01-02,$185.64,82488670,$187.15,$188.44,$183.885
